Area_1,Area_2,Area_3,Area_4
Almidones Mexicanos,", S. A. de C. V.",,
Balances generales,,,
Al 31 de diciembre de 2019 y,2018,,
( En miles de pesos ),,,
Activo,,2019,2018
Activo circulante :,,,
de equivalentes Efectivo y,efectivo,"EA $ 101,606","241,839"
Neto por cobrar - Cuentas,,"2,996,485","3,075,942"
Cuentas por cobrar a partes,relacionadas,"62,865","36,741"
Inventarios Neto -,,"2,155,760","1,935,015"
Pagos anticipados,,"17,289","14,759"
Instrumentos financieros,derivados,"183,424","70,118"
Depósitos en garantía,,"93,581","140,195"
,,"5,611,010","5,514,609"
"equipo - , planta y Propiedades",Neto,"1,270,564","1,150,713"
Inversiones subsidiarias en y,negocio conjunto,"225,899","190,646"
Cuentas por cobrar a partes,relacionadas a largo plazo,"15,806",
diferidos utilidad la a Impuestos,,"2,469","86,495"
trabajadores de los Participación,diferida en las utilidades,,"12,194"
Otros activos,,"1,224","1,617"
,,"SA $ $ 7,126,972","6,956,274"
Pasivo y capital contable,,,
Pasivo circulante :,,,
Préstamos de instituciones,financieras,"3,622,989 $ $","2,848,131"
Cuentas por pagar a proveedores,,"SA 102,857","144,430"
partes pagar a Cuentas por,relacionadas,"120,517","492,823"
Gastos acumulados otros y,pasivos,"201,935","260,942"
Impuestos por pagar,,"520,000","627,320"
trabajadores de los Participación,utilidades en las,"142,264",166.380
financieros Instrumentos,derivados,"58,955","1,245"
,,"4,769,517","4,541,271"
trabajadores de los Participación,utilidades diferida en las,"13,403",
Beneficios a empleados,,"95,070","84,021"
Total pasivo,,"4,877,990","4,625,292"
: contable Capital,,,
social Capital,,"1,096,295","1,096,295"
Prima en emisión de acciones,,"56,553","56,553"
Reserva legal,,"80,758","80,758"
Utilidades retenidas,,"1,072,895","1,075,240"
Valuación de instrumentos,financieros derivados,"57,519 ( )","22,136"
Total del capital contable,,"2,248,982","2,330,982"
,,"$ 7,126,972 $","6,956,274"
parte de adjuntas son Las notas,. estados financieros los,,
,,,4
